id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t025,"It's been two weeks since I sent back my order, and I still haven't seen the refund hit my card. Can you please tell me what's going on?",refund_request,refund_request,The customer is inquiring about the status of their refund after returning an order.,True,improved,v2,,
t026,"Hello, I returned my product two weeks ago, but my refund hasn’t been processed yet. Can you check on this for me? Order number 12345, please!",refund_request,refund_request,The customer is inquiring about the status of their refund for a returned product.,True,improved,v2,,
t027,I returned my item two weeks back and I'm yet to receive my refund on my card. What gives?,refund_request,refund_request,The customer is inquiring about the status of their refund after returning an item.,True,improved,v2,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order cancellation.,True,improved,v2,,
t029,"Hi there, I'd like to request the cancellation of my order number 99021 and ask for a refund to my credit card, as I've decided that I don't need the item anymore. Thank you!",refund_request,refund_request,The customer is requesting a refund for their order cancellation.,True,improved,v2,,
t030,Can you please cancel my order (99021) and issue a refund back to my card? I just realized I don't actually need it. Thanks in advance!,refund_request,refund_request,The customer is requesting a refund for an order they no longer need.,True,improved,v2,,
t031,"Hey, I need to cancel order 99021 and get a refund on my card. I’ve changed my mind about the purchase.",refund_request,refund_request,The customer wants to cancel the order and get a refund.,True,improved,v2,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,True,improved,v2,,
t033,"I paid $89 for my order, but it said $79 when I checked out. Can you please refund me the difference?",refund_request,refund_request,The customer is requesting a refund for the difference in price.,True,improved,v2,,
t034,I can't believe I was charged $89 when it clearly stated $79 at the checkout! I'm requesting a refund for the difference immediately.,refund_request,refund_request,The customer is requesting a refund due to a discrepancy in the charged amount.,True,improved,v2,,
t035,Why was I charged $89 for my order when I saw a price of $79 at the checkout? I expect a refund for that discrepancy.,refund_request,refund_request,The customer is requesting a refund due to a pricing discrepancy.,True,improved,v2,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,True,improved,v2,,
t037,"I'd like to return these for store credit, but to be honest, I'd rather just get a refund back to my card instead.",refund_request,refund_request,The customer is explicitly requesting a refund back to their card.,True,improved,v2,,
t038,"Returning these items for store credit is okay, but honestly, I would much rather have a cash refund to my original payment method.",refund_request,refund_request,The customer is requesting a cash refund to their original payment method.,True,improved,v2,,
t039,"I'm fine with store credit for these returns, but if I'm being real, I'd much prefer a refund back to my card instead.",refund_request,refund_request,The customer is expressing a preference for a refund back to their card.,True,improved,v2,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,"The item arrived broken, which qualifies as a product issue.",True,improved,v2,,
t041,"I received my order for the coffee maker, but the carafe is shattered. I'm really upset about this.",product_issue,product_issue,"The item arrived broken, which qualifies as a product issue.",True,improved,v2,,
t042,"Hi, I just got my coffee maker (order #123456) and the carafe is broken. This is really frustrating!",product_issue,product_issue,"The item arrived broken, which qualifies as a product issue.",True,improved,v2,,
t043,"The coffee maker I ordered came yesterday, but the carafe is cracked. This is quite disappointing.",product_issue,product_issue,"The item arrived broken, which fits the product_issue category.",True,improved,v2,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,product_issue,"The laptop arrived damaged, which qualifies as a product issue.",True,improved,v2,,
t045,"I'm really disappointed that my laptop came broken. I'd appreciate a full refund instead of a replacement, thanks.",product_issue,product_issue,"The laptop arrived broken, which qualifies as a product issue.",True,improved,v2,,
t046,"The laptop I ordered arrived in terrible condition. I would like my money back, not a new one, please.",product_issue,product_issue,"The laptop arrived in terrible condition, indicating a product issue.",True,improved,v2,,
t047,"I received my laptop, but it was damaged upon arrival. I’d prefer to get a complete refund rather than a replacement.",product_issue,product_issue,"The laptop arrived damaged, which qualifies as a product issue.",True,improved,v2,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, which qualifies as a product issue.",True,improved,v2,,
t049,"I received a medium shirt when I specifically ordered a large. This is the second time this has occurred, and it's really getting on my nerves!",product_issue,product_issue,"The customer received the wrong size shirt, which qualifies as a product issue.",True,improved,v2,,
t050,"I ordered a large shirt but got a medium instead. This is the second time this mistake has happened, and it's quite frustrating!",product_issue,product_issue,"The customer received the wrong size shirt, which qualifies as a product issue.",True,improved,v2,,
t051,"This is ridiculous! Once again, you sent me a medium shirt when I ordered a large. Can you get it right this time, please?",product_issue,product_issue,"The customer received the wrong size shirt, which qualifies as a product issue.",True,improved,v2,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The item was not as described since it was advertised as 'wireless' but required a separate dongle.,True,improved,v2,,
t053,"I ordered a wireless product, but surprise, I needed to purchase a separate dongle to make it work. What a joke!",product_issue,other,"The customer is expressing frustration about the product's requirements, but it's not a direct issue with the product itself.",False,improved,v2,,
t054,I was under the impression that the item I bought was completely wireless as advertised. Why did I have to get a separate dongle? This feels like false advertising.,product_issue,product_issue,The customer is reporting an issue with the product not being as described.,True,improved,v2,,
t055,"The product listing clearly stated 'wireless', yet I found myself having to buy an additional dongle. That's definitely misleading.",product_issue,product_issue,The item was not as described since it was advertised as 'wireless' but required an additional dongle.,True,improved,v2,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"The item arrived with a crushed box and a missing instruction manual, which qualifies as a product issue.",True,improved,v2,,
t057,"The product is functioning properly, but the packaging arrived damaged and I'm missing the manual.",product_issue,product_issue,"The packaging is damaged and the manual is missing, which qualifies as a product issue.",True,improved,v2,,
t058,"I received the item and it works well, but the box was all smashed up and there's no instruction booklet included.",product_issue,product_issue,The item arrived damaged and missing an instruction booklet.,True,improved,v2,,
t059,"Everything is fine with the item, but I’m really annoyed that the box was ruined and the manual wasn't in there.",product_issue,product_issue,"The item arrived with a ruined box and missing manual, which qualifies as a product issue.",True,improved,v2,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account.,True,improved,v2,,
t061,"I'm having a real issue here! I can't get into my account, and it keeps telling me my password is incorrect, even though I've just reset it! What gives?",account_help,account_help,The customer is experiencing issues logging into their account due to a password problem.,True,improved,v2,,
t062,"Please help! I'm unable to access my account because it continuously says my password is invalid, even after I've reset it multiple times. This is quite frustrating!",account_help,account_help,The customer is experiencing issues with accessing their account due to password problems.,True,improved,v2,,
t063,"I keep getting locked out of my account. It says my password is wrong, despite the fact that I just reset it. This is really getting on my nerves!",account_help,account_help,The customer is experiencing issues with their account login and password.,True,improved,v2,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for help with updating their payment method.,True,improved,v2,,
t065,"I'm trying to figure out how to change the credit card linked to my account, but I can't find the option in the settings. It's really frustrating!",account_help,account_help,The customer is seeking assistance with changing their payment method.,True,improved,v2,,
t066,Could you please guide me on how to update my credit card information? I looked everywhere in the settings but couldn't find it.,account_help,account_help,"The customer is asking for help with updating their credit card information, which relates to account management.",True,improved,v2,,
t067,"I've been searching for a way to update my credit card on my account, and I just can't locate where to do this in the settings. Can someone help me out?",account_help,account_help,The customer is asking for assistance with updating their credit card information in their account settings.,True,improved,v2,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,"The issue is related to login and payment process, which falls under account help.",True,improved,v2,,
t069,"I'm really frustrated because every time I try to checkout, the site logs me out during the payment process. My order number is 4567.",account_help,account_help,The customer is experiencing issues with logging in during the checkout process.,True,improved,v2,,
t070,Could someone please help me? I'm unable to complete my purchase because the website logs me out while I'm trying to pay. It's been a hassle. Thank you!,account_help,account_help,The customer is experiencing issues with logging in while trying to complete a purchase.,True,improved,v2,,
t071,Why can't I just finish my order? The site insists on logging me out right as I start the payment! This is ridiculous.,account_help,account_help,The customer is experiencing issues with logging in while trying to complete their order.,True,improved,v2,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting help with updating their shipping address.,True,improved,v2,,
t073,"Hey, I need you to delete my previous shipping address ASAP. I relocated last month, and I don’t want my packages ending up at my old place.",account_help,account_help,The customer is requesting help with updating their shipping address.,True,improved,v2,,
t074,"Could you kindly update my account and eliminate my old shipping address? I changed residences last month, and I would appreciate it if my orders don’t get sent there anymore.",account_help,account_help,The customer is requesting an update to their account information regarding their shipping address.,True,improved,v2,,
t075,I’m really frustrated! I need you to take off my old shipping address. I moved last month and I definitely don't want my items delivered there.,account_help,account_help,The customer is requesting help with updating their shipping address.,True,improved,v2,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with security.,True,improved,v2,,
t077,I'm getting 2FA codes sent to my phone that I never asked for. Is someone trying to break into my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with account security.,True,improved,v2,,
t078,"I've been receiving 2FA notifications unexpectedly, and I'm starting to worry if someone is attempting to hack into my account.",account_help,account_help,The customer is concerned about account security and 2FA notifications.,True,improved,v2,,
t079,Why do I keep receiving two-factor authentication codes that I haven't requested? Is there a security threat to my account?,account_help,account_help,The customer is inquiring about two-factor authentication codes and potential security issues with their account.,True,improved,v2,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,The customer is asking a general question about shipping to Canada.,True,improved,v2,,
t081,"Hey, do you even ship to Canada? I searched the FAQ and didn't see anything about it.",other,other,The customer is asking a general question about shipping policies.,True,improved,v2,,
t082,"I'm curious if your company delivers to Canada — it wasn't mentioned in the FAQ section, unfortunately.",other,other,The customer is asking a general question about delivery options.,True,improved,v2,,
t083,Could you confirm whether or not you ship to Canada? I couldn't locate that info on your FAQ page.,other,other,The customer is asking a general question about shipping policies.,True,improved,v2,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is feedback about customer service, not a request or issue.",True,improved,v2,,
t085,I have to give a shoutout to the customer service rep I talked to yesterday. They were fantastic! Thanks a lot!,other,other,"The ticket is a general feedback about customer service, not related to an order, refund, product issue, or account help.",True,improved,v2,,
t086,"I spoke with one of your customer service agents yesterday, and honestly, they were outstanding. I'm really grateful!",other,other,The customer is providing feedback about their experience with customer service.,True,improved,v2,,
t087,Kudos to the rep I chatted with yesterday! They were incredible. Thanks for the great support!,other,other,The ticket is a general feedback message and does not fit any specific support category.,True,improved,v2,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The customer is inquiring about stock availability, which does not fit into the other specified categories.",True,improved,v2,,
t089,When will the red SKU-1140 be available again? I've been waiting forever!,other,other,"The customer is inquiring about product availability, which does not fit the other categories.",True,improved,v2,,
t090,Could you please let me know if the red variant of SKU-1140 is in stock? I really need it!,other,other,"The customer is inquiring about product availability, which does not fit the other categories.",True,improved,v2,,
t091,"Just checking, is the red version of SKU-1140 going to be back in stock anytime soon?",other,other,"The customer is inquiring about stock availability, which does not fit any of the specified categories.",True,improved,v2,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,improved,v2,,
t093,Is there any chance you give a discount for students? I looked for it during checkout but didn’t see anything.,other,other,"The customer is asking about a discount policy, which does not fit into the other specified categories.",True,improved,v2,,
t094,"Hello, I’m wondering if you have a student discount available? I couldn't spot it when I was checking out.",other,other,"The customer is asking about a discount, which does not fit into the other specified categories.",True,improved,v2,,
t095,"I searched for a student discount, but I didn’t see it at the checkout page. Are you guys offering that?",other,other,"The customer is asking about a discount policy, which does not fit into the other specified categories.",True,improved,v2,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about future sales, which does not fit into any of the specified categories.",True,improved,v2,,
t097,"I'm curious, when do you have your next sale? My birthday is just around the corner, and I really want to treat myself.",other,other,"The customer is asking about future sales, which does not fit any of the specified categories.",True,improved,v2,,
t098,"Could you please tell me when your next discount event is? It's my birthday soon, and I'm eager to indulge a little.",other,other,"The customer is asking about discount events, which does not fit into the other specified categories.",True,improved,v2,,
t099,"Hey there, any idea when your next sale is happening? I want to go all out for my upcoming birthday.",other,other,"The customer is asking about future sales, which does not fit into the other specified categories.",True,improved,v2,,
