id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t027,"Hey, can someone tell me what's going on with my refund? It’s been two weeks since I returned the item (order #5432) and I still haven't seen anything on my card. This is getting ridiculous!",refund_request,refund_request,The customer is inquiring about the status of their refund for a returned item.,True,baseline,v1,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t029,I'm really frustrated right now. Can you please cancel my order 99021 and process a refund to my card? I don't need this anymore.,refund_request,refund_request,The customer is requesting to cancel their order and process a refund.,True,baseline,v1,,
t030,"Hi there, I hope you're well! I would appreciate it if you could cancel my order 99021 and issue a refund to my card, as I've changed my mind on the purchase. Thank you!",refund_request,refund_request,The customer is requesting to cancel an order and issue a refund.,True,baseline,v1,,
t031,Order 99021—please cancel and refund my card. I'm not interested anymore.,refund_request,refund_request,The customer is requesting a cancellation and refund for their order.,True,baseline,v1,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,True,baseline,v1,,
t033,I can't believe I was charged $89 when the checkout clearly said $79. This is ridiculous! Please refund the extra $10 immediately!,refund_request,refund_request,The customer is requesting a refund for an incorrect charge.,True,baseline,v1,,
t034,"Hello, I noticed that I ended up paying $89 for my order, but it should have been $79 according to the checkout page. Could you assist me by refunding the difference? Thank you!",refund_request,refund_request,The customer is requesting a refund for the difference in price.,True,baseline,v1,,
t035,"I was expecting to pay $79 as advertised, but somehow I got charged $89. Can you please fix this and refund me the difference?",refund_request,refund_request,The customer is requesting a refund for the difference in the charged amount.,True,baseline,v1,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,True,baseline,v1,,
t037,"I want to return these for store credit, but to be honest, I'd much rather have a refund to my card instead.",refund_request,refund_request,The customer is requesting a refund to their card.,True,baseline,v1,,
t038,"I guess store credit is okay for returning these, but honestly, I'd really prefer getting my money back to the card I used.",refund_request,refund_request,The customer is expressing a preference for a refund to their card instead of store credit.,True,baseline,v1,,
t039,"While returning these for store credit works, I would much rather receive a cash refund back onto my original card, if possible.",refund_request,refund_request,The customer is requesting a cash refund back onto their original card.,True,baseline,v1,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t041,I can't believe the coffee maker I ordered came with a shattered carafe. What a letdown!,product_issue,product_issue,The customer is reporting that the item arrived broken.,True,baseline,v1,,
t042,"Hi, I received my coffee maker today, but the carafe is broken. I'm quite upset about this.",product_issue,product_issue,The customer is reporting that the carafe of the coffee maker arrived broken.,True,baseline,v1,,
t043,"Order #12345 just arrived, and guess what? The carafe on the coffee maker is cracked. This is so disappointing!",product_issue,product_issue,"The item arrived broken, which indicates a product issue.",True,baseline,v1,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,refund_request,The customer is requesting a full refund for a damaged laptop.,False,baseline,v1,,
t045,"I received my laptop in awful condition and I'm not interested in a replacement. I just want my money back, please.",product_issue,refund_request,The customer wants their money back for a damaged laptop.,False,baseline,v1,,
t046,"Hey, my laptop showed up damaged, and I would prefer to get a full refund instead of receiving a new one.",product_issue,refund_request,The customer wants their money back for a damaged laptop.,False,baseline,v1,,
t047,"The laptop I ordered is broken, and I refuse to accept a replacement. I simply want a complete refund.",product_issue,refund_request,The customer is requesting a complete refund for a broken laptop.,False,baseline,v1,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t049,I'm really frustrated because you sent me a medium shirt instead of the large I ordered. This is the second time I've experienced this issue!,product_issue,product_issue,"The customer received the wrong item size, indicating a product issue.",True,baseline,v1,,
t050,I've received a medium shirt when I clearly ordered a large. This is getting ridiculous; it's already happened once before!,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t051,It’s unfortunate that I was sent a medium shirt instead of the large I requested. This is the second occurrence of this problem and it’s quite disappointing.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The customer is reporting a problem with the product description being misleading.,True,baseline,v1,,
t053,I can't believe the product is advertised as 'wireless' and yet I needed to purchase an additional dongle to make it work. This feels very misleading.,product_issue,product_issue,The customer is expressing dissatisfaction with the product's description and functionality.,True,baseline,v1,,
t054,"I thought I was getting a wireless device, but I had to go and buy a dongle separately just to use it. This is quite deceiving.",product_issue,product_issue,The customer received a product that did not meet their expectations as it was not as described.,True,baseline,v1,,
t055,"It's frustrating to see that the item I ordered, which was labeled as 'wireless', actually requires a separate dongle to function. That's definitely not what I expected.",product_issue,product_issue,"The item arrived not as described, requiring additional equipment to function.",True,baseline,v1,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,The item arrived damaged and missing parts.,True,baseline,v1,,
t057,"The item is functional, but the package arrived damaged, and there's no instruction manual included.",product_issue,product_issue,The package was damaged and the item did not come with an instruction manual.,True,baseline,v1,,
t058,"I received my order, and while the product itself is okay, the box is all smashed up, and I can't find the instructions anywhere.",product_issue,product_issue,The item arrived with a damaged box and missing instructions.,True,baseline,v1,,
t059,"The item works great, but I'm really disappointed that the box is completely wrecked and I didn’t get the manual.",product_issue,product_issue,The customer is reporting an issue with the condition of the item packaging and missing manual.,True,baseline,v1,,
t060,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is experiencing issues with logging into their account.,True,baseline,v1,,
t061,"I've been trying to log into my account, but every time I do, it tells me my password is incorrect, even though I just reset it! This is so frustrating!",account_help,account_help,The customer is experiencing issues with logging into their account due to a password problem.,True,baseline,v1,,
t062,"Hello, I'm having trouble accessing my account. It keeps rejecting my password, despite the fact that I recently reset it. Could you please assist?",account_help,account_help,The customer is experiencing issues with accessing their account and password.,True,baseline,v1,,
t063,"Ugh, I can't seem to get into my account — it keeps claiming my password is invalid, even though I just changed it. What’s going on?",account_help,account_help,The customer is experiencing issues with logging into their account due to a password problem.,True,baseline,v1,,
t064,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,The customer is asking for assistance with updating their payment method.,True,baseline,v1,,
t065,"I've been trying to figure out how to change my credit card info, but honestly, I can't find any option for it in the settings. Can someone help?",account_help,account_help,"The customer is asking for assistance with changing their credit card information, which relates to account management.",True,baseline,v1,,
t066,"Excuse me, but I can't seem to locate where to update my credit card on your site. It's not showing up in the settings. Would you enlighten me?",account_help,account_help,"The customer is asking for assistance with updating their credit card information, which relates to account management.",True,baseline,v1,,
t067,"I need to switch the credit card linked to my account, but there's no option in the settings menu. It's quite frustrating! Can someone point me in the right direction?",account_help,account_help,The customer is asking for help with changing their payment method.,True,baseline,v1,,
t068,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,The issue involves problems with logging in during the checkout process.,True,baseline,v1,,
t069,"I'm really frustrated — every time I try to complete my order for the new gaming headset, the site logs me out right before the payment step.",account_help,account_help,"The issue involves being logged out during the payment process, which relates to account access.",True,baseline,v1,,
t070,"Could you please help me? I’m trying to buy the yoga mat I have in my cart, but the website keeps signing me out just as I’m about to pay.",account_help,account_help,The customer is experiencing issues with logging in while trying to make a purchase.,True,baseline,v1,,
t071,"I’m having a really annoying issue with my order #34567 for the Bluetooth speaker. The checkout process keeps logging me out, which is quite inconvenient.",account_help,account_help,The customer is experiencing a login issue during the checkout process.,True,baseline,v1,,
t072,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,The customer is requesting assistance with updating their shipping address.,True,baseline,v1,,
t073,"Hi, I need help with my shipping details. I changed my address last month and I don't want any deliveries sent to my old place anymore. Please take care of this ASAP! Thanks!",account_help,account_help,The customer is requesting assistance with their address change for shipping.,True,baseline,v1,,
t074,"Could you please update my shipping address? I relocated last month, and I really don't want my items being sent to my previous location. Thanks for your assistance.",account_help,account_help,"The customer is requesting an update to their shipping address, which falls under account help.",True,baseline,v1,,
t075,"Hey, I just noticed that my old address is still on file, and I moved a month ago. Can you make sure that nothing gets shipped there? That would be great.",account_help,account_help,The customer is asking for help with their address on file.,True,baseline,v1,,
t076,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with 2FA.,True,baseline,v1,,
t077,I've been receiving 2FA codes that I never asked for. Is someone attempting to break into my account?,account_help,account_help,The customer is concerned about unauthorized access to their account and needs help with account security.,True,baseline,v1,,
t078,I've noticed I'm getting multiple 2FA codes sent to me that I didn't request. Can someone clarify if my account is being compromised?,account_help,account_help,The customer is inquiring about security issues related to their account.,True,baseline,v1,,
t079,Why am I suddenly getting 2FA codes that I didn't ask for? Is there a chance my account has been hacked?,account_help,account_help,The ticket is about unexpected 2FA codes and potential account security issues.,True,baseline,v1,,
t080,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,The ticket is a general question about shipping policies.,True,baseline,v1,,
t081,"Hey, do you even ship to Canada? I searched the FAQ and it’s not there. What’s the deal?",other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t082,Hi there! I was wondering if you ship to Canada because I didn’t see that info in the FAQ section. Can you help?,other,other,The customer is asking a general question about shipping policies.,True,baseline,v1,,
t083,Quick question: do you ship to Canada? I couldn’t find any mention of it on the FAQ page.,other,other,The ticket is a general question about shipping policies.,True,baseline,v1,,
t084,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is feedback about customer service, which does not fit into the other categories.",True,baseline,v1,,
t085,"I'm really impressed with the customer service representative I talked to yesterday. They were fantastic, thanks a lot!",other,other,"The ticket is feedback about customer service, which does not fit into the other specified categories.",True,baseline,v1,,
t086,I just have to mention that the support agent I had yesterday was incredible. I appreciate it!,other,other,The ticket is feedback about a support agent and does not fit any specific category.,True,baseline,v1,,
t087,Shoutout to the customer service person I spoke with yesterday; they were really helpful. Thanks a million!,other,other,The ticket is a general feedback message and does not fit into the other specified categories.,True,baseline,v1,,
t088,Is the red version of SKU-1140 back in stock?,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t089,I was wondering if the red SKU-1140 is available again? It's been a while and I really need it!,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t090,Could you let me know when the red variant of SKU-1140 will be restocked? I'm quite eager to buy it!,other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t091,"Hey, is the red SKU-1140 back in stock yet? It feels like forever since I last checked.",other,other,"The customer is inquiring about product availability, which does not fit into the specified categories.",True,baseline,v1,,
t092,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, which does not fit into the specified categories.",True,baseline,v1,,
t093,I'm really disappointed that I can't find a student discount option. Do you guys even offer one? My order number is 12345.,other,other,"The customer is asking about a discount option, which does not fit into the specified categories.",True,baseline,v1,,
t094,"Excuse me, but I was hoping to use a student discount on my order, but I didn't see it available at checkout. Can you help me out with that? My invoice number is 67890.",other,other,"The customer is asking about a discount and not about an order status, refund, product issue, or account help.",True,baseline,v1,,
t095,"Hey, I'm trying to check out but I don't see any student discount. Do you offer that at all? My order is ABC123.",other,other,"The customer is inquiring about a discount policy, which does not fit into the other specified categories.",True,baseline,v1,,
t096,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t097,"Could you please tell me when your next sale is? My birthday is approaching, and I would really like to treat myself.",other,other,"The customer is asking about future sales, which does not fit into the specified categories.",True,baseline,v1,,
t098,"I am curious about your upcoming sale dates. My birthday is around the corner, and I want to indulge a bit!",other,other,"The customer is asking about sale dates, which does not fit into the specified categories.",True,baseline,v1,,
t099,"Hey, any idea when you’re having your next sale? My birthday is soon, and I'm eager to go all out on some shopping.",other,other,"The customer is inquiring about future sales, which does not fit into the specified categories.",True,baseline,v1,,
